incident_id,date,year,month,month_name,hour,time_slot,emirate,incident_type,road_type,vehicle_type,weather_condition,severity_score,fatalities,injuries,response_time_min,fine_aed
INC-00014,2021-02-14,2021,2,February,6,Morning Rush (6-9),Dubai,Vehicle Collision,Urban Street,SUV,Clear,1,0,1,10.5,3000
INC-00015,2022-06-20,2022,6,June,6,Morning Rush (6-9),Sharjah,Signal Violation,Coastal Road,SUV,Sandstorm,5,0,5,14.1,0
INC-00016,2022-03-28,2022,3,March,9,Midday (9-15),Abu Dhabi,Signal Violation,Industrial Zone,SUV,Clear,2,0,0,13.1,400
INC-00017,2022-09-16,2022,9,September,20,Night (19-24),Ajman,Speeding,Highway,SUV,Clear,2,0,2,9.4,400
INC-00018,2023-10-18,2023,10,October,13,Midday (9-15),Abu Dhabi,Distracted Driving,Highway,Bus,Sandstorm,3,0,0,10.5,1000
INC-00019,2020-07-23,2020,7,July,13,Midday (9-15),Dubai,Speeding,Highway,Sedan,Sandstorm,4,0,5,11.3,0
INC-00020,2019-11-30,2019,11,November,23,Night (19-24),Dubai,Reckless Driving,Urban Street,Sedan,Clear,2,0,1,11.0,3000
INC-00021,2020-06-30,2020,6,June,20,Night (19-24),Dubai,Distracted Driving,Coastal Road,Sedan,Clear,4,0,1,11.4,0
INC-00022,2022-06-01,2022,6,June,17,Evening Rush (15-19),Dubai,Pedestrian Accident,Urban Street,Motorcycle,Clear,4,0,8,10.3,0
INC-00023,2023-02-02,2023,2,February,7,Morning Rush (6-9),Sharjah,Tailgating,Urban Street,Truck,Sandstorm,3,0,3,12.0,1000
INC-00024,2020-07-06,2020,7,July,16,Evening Rush (15-19),Dubai,Vehicle Collision,Coastal Road,Sedan,Clear,5,1,10,6.9,0
INC-00025,2022-11-10,2022,11,November,6,Morning Rush (6-9),Dubai,Distracted Driving,Highway,Truck,Heatwave,3,0,5,8.7,800
INC-00026,2023-09-23,2023,9,September,8,Morning Rush (6-9),Abu Dhabi,Parking Violation,Industrial Zone,Sedan,Clear,4,1,0,15.9,0
INC-00027,2020-04-14,2020,4,April,17,Evening Rush (15-19),Dubai,Pedestrian Accident,Residential,SUV,Rain,4,1,5,8.7,0
INC-00028,2021-04-01,2021,4,April,6,Morning Rush (6-9),Dubai,Reckless Driving,Highway,SUV,Sandstorm,3,0,1,10.5,2000
INC-00029,2023-11-30,2023,11,November,16,Evening Rush (15-19),Sharjah,Speeding,Urban Street,Sedan,Clear,4,0,3,16.0,0
INC-00030,2022-09-04,2022,9,September,9,Midday (9-15),Sharjah,Tailgating,Urban Street,Sedan,Clear,3,0,5,9.8,1000
INC-00031,2019-10-20,2019,10,October,22,Night (19-24),Abu Dhabi,DUI,Urban Street,Truck,Clear,2,0,1,20.2,3000
INC-00032,2022-02-23,2022,2,February,7,Morning Rush (6-9),Abu Dhabi,Tailgating,Residential,Sedan,Fog,4,0,6,12.3,0
INC-00033,2022-04-10,2022,4,April,12,Midday (9-15),Umm Al Quwain,Pedestrian Accident,Urban Street,Sedan,Clear,3,0,1,11.6,600
INC-00034,2021-11-09,2021,11,November,22,Night (19-24),Fujairah,Parking Violation,Highway,Sedan,Heatwave,3,0,6,14.2,400
INC-00035,2023-10-30,2023,10,October,11,Midday (9-15),Abu Dhabi,Pedestrian Accident,Residential,SUV,Clear,1,0,2,12.7,600
INC-00036,2023-06-11,2023,6,June,6,Morning Rush (6-9),Umm Al Quwain,Speeding,Industrial Zone,Sedan,Clear,4,1,1,9.6,0
INC-00037,2021-02-27,2021,2,February,14,Midday (9-15),Sharjah,Distracted Driving,Industrial Zone,Motorcycle,Clear,3,0,3,12.1,2000
INC-00038,2020-05-29,2020,5,May,18,Evening Rush (15-19),Abu Dhabi,Tailgating,Highway,SUV,Sandstorm,5,1,0,14.6,0
INC-00039,2022-10-25,2022,10,October,15,Evening Rush (15-19),Dubai,Pedestrian Accident,Urban Street,Sedan,Clear,4,0,8,5.3,0
INC-00040,2023-03-18,2023,3,March,18,Evening Rush (15-19),Abu Dhabi,Parking Violation,Urban Street,Motorcycle,Clear,2,0,2,11.0,400
INC-00041,2020-08-24,2020,8,August,11,Midday (9-15),Dubai,Reckless Driving,Urban Street,Sedan,Sandstorm,4,0,7,6.0,0
INC-00042,2019-01-07,2019,1,January,5,Early Morning (0-6),Abu Dhabi,Vehicle Collision,Urban Street,Truck,Clear,5,3,4,14.6,0
INC-00043,2021-10-22,2021,10,October,21,Night (19-24),Dubai,Pedestrian Accident,Residential,Truck,Clear,4,0,8,9.1,0
INC-00044,2019-08-06,2019,8,August,11,Midday (9-15),Abu Dhabi,Parking Violation,Highway,Sedan,Clear,4,0,4,17.0,0
INC-00045,2023-09-20,2023,9,September,5,Early Morning (0-6),Dubai,Parking Violation,Urban Street,Sedan,Clear,4,1,3,-1.7,0
INC-00046,2019-11-10,2019,11,November,12,Midday (9-15),Dubai,Distracted Driving,Coastal Road,Motorcycle,Clear,2,0,1,4.9,2000
INC-00047,2023-05-14,2023,5,May,0,Early Morning (0-6),Dubai,DUI,Residential,Sedan,Heatwave,5,0,0,8.6,0
INC-00048,2022-05-11,2022,5,May,15,Evening Rush (15-19),Dubai,DUI,Residential,SUV,Heatwave,2,0,0,6.2,400
INC-00049,2021-01-13,2021,1,January,18,Evening Rush (15-19),Dubai,Speeding,Coastal Road,Bus,Fog,5,1,4,8.8,0
INC-00050,2020-05-05,2020,5,May,9,Midday (9-15),Dubai,Distracted Driving,Highway,Sedan,Rain,1,0,2,6.1,400
INC-00051,2019-06-25,2019,6,June,16,Evening Rush (15-19),Abu Dhabi,DUI,Residential,Motorcycle,Clear,4,1,1,9.5,0
INC-00052,2023-04-07,2023,4,April,18,Evening Rush (15-19),Sharjah,Signal Violation,Urban Street,Truck,Heatwave,3,0,1,10.3,600
INC-00053,2022-09-13,2022,9,September,21,Night (19-24),Dubai,Speeding,Residential,Truck,Heatwave,3,0,4,6.1,600
INC-00054,2020-06-26,2020,6,June,13,Midday (9-15),Abu Dhabi,Tailgating,Urban Street,Sedan,Clear,3,0,4,8.0,1000
INC-00055,2020-03-09,2020,3,March,5,Early Morning (0-6),Ras Al Khaimah,Signal Violation,Urban Street,SUV,Clear,5,3,3,6.6,0
INC-00056,2022-12-31,2022,12,December,16,Evening Rush (15-19),Dubai,Vehicle Collision,Residential,Sedan,Fog,3,0,5,6.7,3000
INC-00057,2021-02-03,2021,2,February,22,Night (19-24),Fujairah,Distracted Driving,Urban Street,Motorcycle,Heatwave,3,0,4,9.5,1000
INC-00058,2019-09-05,2019,9,September,17,Evening Rush (15-19),Dubai,Pedestrian Accident,Highway,Truck,Sandstorm,3,0,0,7.0,800
INC-00059,2019-02-13,2019,2,February,18,Evening Rush (15-19),Dubai,Parking Violation,Highway,SUV,Fog,4,0,3,8.9,0
INC-00060,2022-04-20,2022,4,April,10,Midday (9-15),Abu Dhabi,Tailgating,Residential,SUV,Sandstorm,3,0,0,11.4,3000
INC-00061,2022-07-16,2022,7,July,20,Night (19-24),Abu Dhabi,Tailgating,Highway,SUV,Clear,1,0,0,16.8,400
INC-00062,2023-10-27,2023,10,October,18,Evening Rush (15-19),Sharjah,Tailgating,Urban Street,Van,Sandstorm,3,0,4,13.4,600
INC-00063,2020-07-24,2020,7,July,9,Midday (9-15),Abu Dhabi,Pedestrian Accident,Industrial Zone,Van,Heatwave,4,0,3,6.3,0
INC-00064,2022-01-09,2022,1,January,21,Night (19-24),Dubai,Signal Violation,Urban Street,Van,Rain,2,0,4,9.8,2000
INC-00065,2021-08-26,2021,8,August,16,Evening Rush (15-19),Abu Dhabi,Speeding,Urban Street,SUV,Sandstorm,3,0,3,11.7,1000
INC-00066,2020-01-25,2020,1,January,9,Midday (9-15),Abu Dhabi,Distracted Driving,Urban Street,Sedan,Clear,1,0,2,14.9,1000
INC-00067,2020-12-26,2020,12,December,10,Midday (9-15),Dubai,Pedestrian Accident,Highway,Sedan,Clear,3,0,3,13.2,3000
INC-00068,2019-04-21,2019,4,April,6,Morning Rush (6-9),Dubai,Tailgating,Residential,SUV,Clear,4,1,1,3.5,0
INC-00069,2019-05-05,2019,5,May,21,Night (19-24),Abu Dhabi,Parking Violation,Highway,SUV,Heatwave,3,0,2,12.9,400
INC-00070,2020-05-24,2020,5,May,22,Night (19-24),Abu Dhabi,Speeding,Urban Street,SUV,Rain,2,0,4,8.7,1000
INC-00071,2019-10-15,2019,10,October,4,Early Morning (0-6),Dubai,Speeding,Urban Street,Truck,Heatwave,3,0,2,8.5,1000
INC-00072,2020-05-26,2020,5,May,17,Evening Rush (15-19),Sharjah,Wrong Way Driving,Highway,Van,Clear,4,0,1,14.4,0
INC-00073,2021-06-26,2021,6,June,8,Morning Rush (6-9),Abu Dhabi,DUI,Highway,SUV,Sandstorm,5,1,8,15.8,0
INC-00074,2019-07-20,2019,7,July,18,Evening Rush (15-19),Dubai,Wrong Way Driving,Urban Street,SUV,Heatwave,1,0,2,7.7,400
INC-00075,2019-07-11,2019,7,July,18,Evening Rush (15-19),Abu Dhabi,Vehicle Collision,Highway,Sedan,Sandstorm,5,1,3,15.2,0
INC-00076,2019-12-07,2019,12,December,12,Midday (9-15),Abu Dhabi,Signal Violation,Urban Street,SUV,Rain,3,0,3,6.7,600
INC-00077,2023-11-06,2023,11,November,9,Midday (9-15),Ras Al Khaimah,Speeding,Coastal Road,Sedan,Clear,3,0,0,12.0,600
INC-00078,2021-02-15,2021,2,February,12,Midday (9-15),Dubai,Parking Violation,Highway,Sedan,Heatwave,1,0,1,10.4,800
INC-00079,2023-05-25,2023,5,May,10,Midday (9-15),Abu Dhabi,Pedestrian Accident,Residential,Sedan,Sandstorm,5,0,4,9.7,0
INC-00080,2021-05-16,2021,5,May,13,Midday (9-15),Ras Al Khaimah,Tailgating,Highway,Sedan,Heatwave,4,0,8,17.0,0
INC-00081,2022-09-17,2022,9,September,7,Morning Rush (6-9),Dubai,Wrong Way Driving,Urban Street,Motorcycle,Clear,4,0,2,6.9,0
INC-00082,2020-01-24,2020,1,January,5,Early Morning (0-6),Dubai,Pedestrian Accident,Highway,Motorcycle,Clear,2,0,0,5.5,2000
INC-00083,2023-02-15,2023,2,February,4,Early Morning (0-6),Ras Al Khaimah,Speeding,Highway,SUV,Clear,3,0,5,12.1,800
INC-00084,2019-04-28,2019,4,April,8,Morning Rush (6-9),Ras Al Khaimah,DUI,Residential,Sedan,Fog,2,0,3,12.9,2000
INC-00085,2023-10-13,2023,10,October,6,Morning Rush (6-9),Dubai,Reckless Driving,Urban Street,SUV,Sandstorm,4,0,0,5.6,0
INC-00086,2021-11-06,2021,11,November,1,Early Morning (0-6),Abu Dhabi,Vehicle Collision,Highway,SUV,Clear,2,0,1,9.3,400
INC-00087,2022-05-03,2022,5,May,10,Midday (9-15),Dubai,Distracted Driving,Residential,SUV,Sandstorm,2,0,1,8.2,1000
INC-00088,2019-09-03,2019,9,September,17,Evening Rush (15-19),Abu Dhabi,Wrong Way Driving,Highway,Motorcycle,Clear,5,0,9,9.4,0
INC-00089,2020-05-19,2020,5,May,8,Morning Rush (6-9),Abu Dhabi,Wrong Way Driving,Highway,Sedan,Sandstorm,4,0,0,10.6,0
INC-00090,2022-06-22,2022,6,June,7,Morning Rush (6-9),Dubai,DUI,Industrial Zone,Sedan,Clear,1,0,2,6.1,2000
INC-00091,2022-03-03,2022,3,March,11,Midday (9-15),Abu Dhabi,Pedestrian Accident,Urban Street,Van,Heatwave,3,0,2,12.7,600
INC-00092,2022-10-03,2022,10,October,7,Morning Rush (6-9),Dubai,DUI,Urban Street,Motorcycle,Sandstorm,5,2,3,8.8,0
INC-00093,2020-06-27,2020,6,June,22,Night (19-24),Dubai,Signal Violation,Urban Street,Sedan,Sandstorm,3,0,5,8.8,3000
INC-00094,2020-09-06,2020,9,September,15,Evening Rush (15-19),Dubai,Signal Violation,Highway,SUV,Clear,3,0,6,5.3,400
INC-00095,2019-01-20,2019,1,January,12,Midday (9-15),Abu Dhabi,Reckless Driving,Highway,Motorcycle,Sandstorm,4,0,1,14.5,0
INC-00096,2019-05-31,2019,5,May,15,Evening Rush (15-19),Sharjah,Speeding,Industrial Zone,Truck,Sandstorm,4,0,8,8.6,0
INC-00097,2020-06-27,2020,6,June,21,Night (19-24),Abu Dhabi,Reckless Driving,Highway,Sedan,Heatwave,2,0,2,13.5,400
INC-00098,2023-12-06,2023,12,December,6,Morning Rush (6-9),Ajman,Tailgating,Highway,Motorcycle,Fog,3,0,2,16.7,600
INC-00099,2021-06-16,2021,6,June,14,Midday (9-15),Sharjah,Wrong Way Driving,Residential,SUV,Clear,4,1,4,13.7,0
INC-00100,2022-06-06,2022,6,June,14,Midday (9-15),Abu Dhabi,Speeding,Industrial Zone,SUV,Clear,5,0,10,12.9,0
INC-00101,2021-12-19,2021,12,December,20,Night (19-24),Abu Dhabi,Tailgating,Urban Street,Sedan,Fog,2,0,4,14.7,800
INC-00102,2022-09-20,2022,9,September,20,Night (19-24),Dubai,Vehicle Collision,Urban Street,Van,Clear,1,0,0,11.3,800
INC-00103,2019-08-25,2019,8,August,17,Evening Rush (15-19),Sharjah,Signal Violation,Urban Street,Truck,Fog,5,0,8,11.0,0
INC-00104,2019-11-15,2019,11,November,6,Morning Rush (6-9),Ajman,DUI,Urban Street,SUV,Heatwave,2,0,4,14.5,600
INC-00105,2023-01-09,2023,1,January,13,Midday (9-15),Abu Dhabi,Reckless Driving,Highway,SUV,Clear,2,0,2,17.1,2000
INC-00106,2021-09-27,2021,9,September,19,Night (19-24),Abu Dhabi,DUI,Urban Street,SUV,Heatwave,2,0,0,13.6,400
INC-00107,2022-07-23,2022,7,July,21,Night (19-24),Abu Dhabi,DUI,Urban Street,SUV,Clear,3,0,2,12.3,400
INC-00108,2019-01-08,2019,1,January,21,Night (19-24),Sharjah,Distracted Driving,Residential,SUV,Fog,3,0,1,14.2,3000
INC-00109,2020-06-20,2020,6,June,5,Early Morning (0-6),Dubai,Wrong Way Driving,Coastal Road,SUV,Clear,2,0,3,15.6,2000
INC-00110,2022-12-16,2022,12,December,4,Early Morning (0-6),Abu Dhabi,Signal Violation,Residential,SUV,Clear,3,0,0,13.6,400
INC-00111,2019-06-04,2019,6,June,11,Midday (9-15),Dubai,Vehicle Collision,Highway,Truck,Heatwave,5,2,2,3.5,0
INC-00112,2022-01-22,2022,1,January,6,Morning Rush (6-9),Abu Dhabi,Vehicle Collision,Highway,Sedan,Clear,1,0,1,11.2,2000
INC-00113,2022-02-05,2022,2,February,18,Evening Rush (15-19),Dubai,Distracted Driving,Highway,Truck,Clear,2,0,1,7.2,400
INC-00114,2020-09-23,2020,9,September,23,Night (19-24),Dubai,Speeding,Highway,SUV,Clear,2,0,0,4.7,800
INC-00115,2020-03-06,2020,3,March,18,Evening Rush (15-19),Abu Dhabi,Speeding,Highway,SUV,Clear,4,0,1,9.9,0
INC-00116,2020-12-25,2020,12,December,12,Midday (9-15),Sharjah,Reckless Driving,Urban Street,Truck,Sandstorm,5,0,6,12.3,0
INC-00117,2022-06-25,2022,6,June,10,Midday (9-15),Dubai,Distracted Driving,Highway,SUV,Clear,4,0,3,6.9,0
INC-00118,2023-11-06,2023,11,November,17,Evening Rush (15-19),Dubai,Speeding,Urban Street,Sedan,Sandstorm,2,0,1,7.8,1000
INC-00119,2019-02-20,2019,2,February,13,Midday (9-15),Dubai,Wrong Way Driving,Residential,Sedan,Sandstorm,3,0,2,4.3,1000
INC-00120,2023-07-01,2023,7,July,8,Morning Rush (6-9),Dubai,Signal Violation,Coastal Road,Sedan,Sandstorm,4,1,3,10.1,0
INC-00121,2020-06-30,2020,6,June,10,Midday (9-15),Abu Dhabi,Distracted Driving,Highway,Sedan,Clear,2,0,0,7.0,1000
INC-00122,2023-11-22,2023,11,November,18,Evening Rush (15-19),Ras Al Khaimah,Distracted Driving,Industrial Zone,SUV,Clear,1,0,1,17.3,600
INC-00123,2020-02-13,2020,2,February,19,Night (19-24),Dubai,Wrong Way Driving,Urban Street,Sedan,Clear,4,0,7,10.9,0
INC-00124,2020-12-17,2020,12,December,12,Midday (9-15),Sharjah,Wrong Way Driving,Urban Street,SUV,Clear,2,0,1,11.9,600
INC-00125,2019-02-18,2019,2,February,6,Morning Rush (6-9),Dubai,Distracted Driving,Coastal Road,Truck,Fog,4,1,6,10.9,0
INC-00126,2020-11-03,2020,11,November,18,Evening Rush (15-19),Abu Dhabi,Reckless Driving,Urban Street,Truck,Clear,2,0,0,13.6,800
INC-00127,2020-12-20,2020,12,December,7,Morning Rush (6-9),Ajman,Wrong Way Driving,Highway,Truck,Clear,4,0,6,14.1,0
INC-00128,2022-10-23,2022,10,October,15,Evening Rush (15-19),Abu Dhabi,Distracted Driving,Urban Street,SUV,Heatwave,5,0,8,8.0,0
INC-00129,2020-11-09,2020,11,November,7,Morning Rush (6-9),Fujairah,Parking Violation,Industrial Zone,SUV,Clear,5,1,1,12.7,0
INC-00130,2023-12-02,2023,12,December,21,Night (19-24),Abu Dhabi,Pedestrian Accident,Residential,Sedan,Clear,5,3,2,13.3,0
INC-00131,2022-04-04,2022,4,April,8,Morning Rush (6-9),Dubai,Reckless Driving,Urban Street,SUV,Sandstorm,5,0,4,4.2,0
INC-00132,2019-03-20,2019,3,March,17,Evening Rush (15-19),Abu Dhabi,Wrong Way Driving,Highway,Motorcycle,Sandstorm,2,0,3,8.0,800
INC-00133,2023-02-01,2023,2,February,16,Evening Rush (15-19),Sharjah,Tailgating,Highway,Motorcycle,Clear,4,0,6,12.7,0
INC-00134,2022-05-26,2022,5,May,22,Night (19-24),Dubai,Speeding,Residential,Truck,Fog,5,1,1,13.8,0
INC-00135,2021-02-27,2021,2,February,8,Morning Rush (6-9),Ajman,Distracted Driving,Highway,Truck,Clear,5,0,3,12.3,0
INC-00136,2020-06-05,2020,6,June,14,Midday (9-15),Umm Al Quwain,Vehicle Collision,Highway,Truck,Clear,1,0,1,10.4,400
INC-00137,2021-11-30,2021,11,November,21,Night (19-24),Dubai,Reckless Driving,Residential,Sedan,Heatwave,5,2,8,12.1,0
INC-00138,2022-11-07,2022,11,November,16,Evening Rush (15-19),Sharjah,Reckless Driving,Industrial Zone,SUV,Clear,4,0,3,3.9,0
INC-00139,2021-01-15,2021,1,January,11,Midday (9-15),Abu Dhabi,Signal Violation,Residential,Sedan,Sandstorm,4,0,5,14.6,0
INC-00140,2022-06-30,2022,6,June,8,Morning Rush (6-9),Abu Dhabi,Distracted Driving,Coastal Road,Sedan,Clear,2,0,0,12.8,3000
INC-00141,2020-09-07,2020,9,September,11,Midday (9-15),Dubai,Vehicle Collision,Highway,Sedan,Heatwave,3,0,5,15.8,1000
INC-00142,2020-10-30,2020,10,October,11,Midday (9-15),Dubai,Vehicle Collision,Urban Street,Truck,Clear,3,0,2,6.0,2000
INC-00143,2019-09-18,2019,9,September,12,Midday (9-15),Dubai,Reckless Driving,Highway,Sedan,Clear,2,0,3,7.9,3000
INC-00144,2023-03-13,2023,3,March,16,Evening Rush (15-19),Abu Dhabi,Parking Violation,Highway,SUV,Clear,5,2,9,12.7,0
INC-00145,2022-03-11,2022,3,March,21,Night (19-24),Ras Al Khaimah,Reckless Driving,Highway,Van,Sandstorm,3,0,4,15.5,400
INC-00146,2020-09-14,2020,9,September,8,Morning Rush (6-9),Abu Dhabi,Distracted Driving,Highway,Van,Clear,2,0,3,16.9,2000
INC-00147,2022-05-27,2022,5,May,18,Evening Rush (15-19),Ajman,Wrong Way Driving,Coastal Road,Van,Sandstorm,4,0,7,10.9,0
INC-00148,2021-06-23,2021,6,June,16,Evening Rush (15-19),Sharjah,Tailgating,Highway,Sedan,Clear,3,0,1,8.5,2000
INC-00149,2021-08-27,2021,8,August,15,Evening Rush (15-19),Abu Dhabi,Wrong Way Driving,Urban Street,Sedan,Clear,4,0,2,10.2,0
INC-00150,2022-09-11,2022,9,September,2,Early Morning (0-6),Ajman,Wrong Way Driving,Urban Street,Sedan,Clear,2,0,4,11.9,3000
INC-00151,2022-07-20,2022,7,July,11,Midday (9-15),Abu Dhabi,Parking Violation,Highway,SUV,Clear,3,0,0,14.7,600
INC-00152,2022-10-09,2022,10,October,16,Evening Rush (15-19),Abu Dhabi,Speeding,Industrial Zone,Truck,Clear,2,0,1,12.1,600
INC-00153,2019-02-20,2019,2,February,19,Night (19-24),Sharjah,Wrong Way Driving,Highway,Sedan,Rain,1,0,1,9.2,2000
INC-00154,2023-10-07,2023,10,October,22,Night (19-24),Ras Al Khaimah,Distracted Driving,Highway,Sedan,Clear,4,1,7,13.8,0
INC-00155,2021-04-28,2021,4,April,7,Morning Rush (6-9),Sharjah,Vehicle Collision,Highway,Sedan,Rain,5,1,9,14.0,0
INC-00156,2020-02-03,2020,2,February,11,Midday (9-15),Dubai,Pedestrian Accident,Highway,Sedan,Clear,4,0,6,2.3,0
INC-00157,2021-10-09,2021,10,October,19,Night (19-24),Abu Dhabi,Parking Violation,Highway,Bus,Clear,3,0,1,10.7,3000
INC-00158,2022-11-09,2022,11,November,17,Evening Rush (15-19),Dubai,Distracted Driving,Urban Street,Sedan,Clear,1,0,0,8.6,1000
INC-00159,2020-03-24,2020,3,March,19,Night (19-24),Dubai,Signal Violation,Urban Street,SUV,Heatwave,2,0,4,6.1,1000
INC-00160,2019-04-13,2019,4,April,10,Midday (9-15),Ajman,Distracted Driving,Highway,Sedan,Rain,3,0,6,11.5,400
INC-00161,2021-07-23,2021,7,July,21,Night (19-24),Abu Dhabi,Wrong Way Driving,Highway,Truck,Clear,2,0,3,8.9,3000
INC-00162,2021-12-23,2021,12,December,16,Evening Rush (15-19),Dubai,Speeding,Coastal Road,Sedan,Fog,5,0,9,10.1,0
INC-00163,2020-10-11,2020,10,October,20,Night (19-24),Sharjah,Tailgating,Highway,Van,Heatwave,5,3,7,14.7,0
INC-00164,2022-06-08,2022,6,June,7,Morning Rush (6-9),Dubai,Reckless Driving,Industrial Zone,SUV,Clear,4,0,8,7.4,0
INC-00165,2021-05-23,2021,5,May,7,Morning Rush (6-9),Fujairah,Reckless Driving,Residential,SUV,Heatwave,4,0,8,12.6,0
INC-00166,2021-07-02,2021,7,July,13,Midday (9-15),Sharjah,Signal Violation,Urban Street,Sedan,Clear,5,0,7,14.1,0
INC-00167,2021-07-10,2021,7,July,4,Early Morning (0-6),Abu Dhabi,Parking Violation,Urban Street,SUV,Clear,2,0,1,17.9,3000
INC-00168,2020-07-21,2020,7,July,22,Night (19-24),Abu Dhabi,Wrong Way Driving,Industrial Zone,Truck,Sandstorm,5,1,8,10.8,0
INC-00169,2021-09-19,2021,9,September,13,Midday (9-15),Dubai,Wrong Way Driving,Urban Street,Sedan,Clear,4,0,4,3.6,0
INC-00170,2021-06-19,2021,6,June,18,Evening Rush (15-19),Dubai,Speeding,Urban Street,Sedan,Heatwave,1,0,1,7.7,600
INC-00171,2020-07-10,2020,7,July,2,Early Morning (0-6),Abu Dhabi,Pedestrian Accident,Highway,Van,Clear,3,0,4,13.9,400
INC-00172,2019-10-11,2019,10,October,3,Early Morning (0-6),Ajman,DUI,Urban Street,Truck,Sandstorm,3,0,3,9.1,3000
INC-00173,2019-11-09,2019,11,November,21,Night (19-24),Dubai,Reckless Driving,Coastal Road,Bus,Clear,4,0,1,11.8,0
INC-00174,2021-04-29,2021,4,April,13,Midday (9-15),Abu Dhabi,Signal Violation,Urban Street,Truck,Sandstorm,3,0,4,13.7,1000
INC-00175,2021-05-01,2021,5,May,3,Early Morning (0-6),Abu Dhabi,Reckless Driving,Highway,Sedan,Clear,2,0,3,8.9,1000
INC-00176,2023-04-26,2023,4,April,16,Evening Rush (15-19),Sharjah,Reckless Driving,Residential,Sedan,Sandstorm,4,0,0,10.4,0
INC-00177,2023-10-21,2023,10,October,13,Midday (9-15),Abu Dhabi,Pedestrian Accident,Highway,Sedan,Clear,5,0,9,15.3,0
INC-00178,2021-02-18,2021,2,February,17,Evening Rush (15-19),Sharjah,Signal Violation,Residential,Truck,Clear,3,0,2,11.7,800
INC-00179,2023-03-24,2023,3,March,14,Midday (9-15),Abu Dhabi,Wrong Way Driving,Urban Street,Truck,Sandstorm,3,0,6,15.2,1000
INC-00180,2022-01-07,2022,1,January,12,Midday (9-15),Ras Al Khaimah,Pedestrian Accident,Urban Street,SUV,Clear,4,0,8,11.9,0
INC-00181,2023-06-27,2023,6,June,19,Night (19-24),Abu Dhabi,Distracted Driving,Residential,Bus,Clear,3,0,1,10.3,1000
INC-00182,2020-03-25,2020,3,March,7,Morning Rush (6-9),Umm Al Quwain,Wrong Way Driving,Highway,Motorcycle,Heatwave,2,0,3,10.0,400
INC-00183,2021-03-07,2021,3,March,13,Midday (9-15),Abu Dhabi,Reckless Driving,Highway,Truck,Clear,2,0,3,9.4,3000
INC-00184,2019-12-05,2019,12,December,0,Early Morning (0-6),Ajman,Signal Violation,Coastal Road,SUV,Sandstorm,5,0,2,7.1,0
INC-00185,2022-06-28,2022,6,June,5,Early Morning (0-6),Dubai,Distracted Driving,Urban Street,Truck,Clear,3,0,3,7.5,2000
INC-00186,2022-03-01,2022,3,March,21,Night (19-24),Abu Dhabi,Wrong Way Driving,Urban Street,SUV,Clear,4,0,1,8.6,0
INC-00187,2022-08-09,2022,8,August,18,Evening Rush (15-19),Abu Dhabi,Pedestrian Accident,Highway,Sedan,Sandstorm,4,0,7,11.8,0
INC-00188,2020-01-08,2020,1,January,21,Night (19-24),Abu Dhabi,Vehicle Collision,Highway,Sedan,Clear,1,0,1,11.9,800
INC-00189,2020-03-09,2020,3,March,6,Morning Rush (6-9),Dubai,Signal Violation,Coastal Road,Van,Sandstorm,4,0,5,10.7,0
INC-00190,2023-04-08,2023,4,April,13,Midday (9-15),Abu Dhabi,Signal Violation,Highway,Sedan,Sandstorm,5,1,4,13.0,0
